dataset,n_full_obs,mcar_obs_prob,K,lmbda,split,train_loss,val_loss,train_acc,val_acc
bbh+gpqa+ifeval+math+musr,0.0,1e-05,8,10.0,2.0,0.6533749461174011,0.6931471943855285,1.0,0.5795658707595237
bbh+gpqa+ifeval+math+musr,0.0,0.0001,8,10.0,2.0,0.6544630765914917,0.6932215809822082,1.0,0.6092697042959403
bbh+gpqa+ifeval+math+musr,0.0,0.001,64,10.0,2.0,0.4628921806812286,0.6921980857849122,1.0,0.5445551374929198
bbh+gpqa+ifeval+math+musr,0.0,0.01,64,10.0,2.0,0.5542902946472168,0.5923757076263427,0.822154865887657,0.7513539210925418
bbh+gpqa+ifeval+math+musr,50.0,0.1,16,1.0,2.0,0.2915917575359344,0.37420592904090877,0.8775955424763972,0.8325829517684266
bbh+gpqa+ifeval+math+musr,200.0,0.1,32,1.0,2.0,0.2281261712312698,0.35159277319908144,0.9100231856353848,0.8477905946663826
bbh+gpqa+ifeval+math+musr,800.0,0.1,64,1.0,2.0,0.19604827761650082,0.29268702268600466,0.9237336366915703,0.8756852729438771
bbh+gpqa+ifeval+math+musr,,1.0,64,0.1,2.0,0.19421605467796318,0.2540146887302398,0.9163741330903538,0.8925496513272277
mmlu-pro,0.0,1e-05,8,10.0,2.0,0.6541360020637512,0.6931471943855285,1.0,0.7267783476461285
mmlu-pro,0.0,0.0001,16,10.0,2.0,0.6172621846199036,0.693111777305603,1.0,0.6833521730000305
mmlu-pro,0.0,0.001,32,10.0,2.0,0.5685965418815613,0.6880340337753296,1.0,0.6055611364075647
mmlu-pro,0.0,0.01,64,10.0,2.0,0.5426888227462768,0.5668922901153565,0.8335993343054945,0.791628192458728
mmlu-pro,50.0,0.1,16,1.0,2.0,0.2488567471504211,0.31445185542106624,0.8990065710818277,0.8665258191154619
mmlu-pro,200.0,0.1,32,1.0,2.0,0.19294594824314115,0.2962250828742981,0.9252387682488173,0.87641943465962
mmlu-pro,800.0,0.1,64,1.0,2.0,0.16571248471736905,0.25296745300292967,0.9363889833695952,0.8957846835832463
mmlu-pro,,1.0,64,0.1,2.0,0.16140722632408136,0.21727390587329865,0.9310865509011734,0.9108629578860151
